Datum Zeit; BEN; NO; NO2; O3; PM2.5; PM10; SO2
; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³
05-10-16 15:00; 0,0; 41; 22; 35; 0,00; 5; 0,0
05-10-16 15:30; ; ; ; ; ; ; 0,0
05-10-16 16:00; 0,0; 37; 25; 43; 0,00; 4; 0,0
05-10-16 16:30; ; ; ; ; ; ; 0,0
05-10-16 17:00; 0,0; 35; 23; 31; 0,00; 6; 0,0
05-10-16 17:30; ; ; ; ; ; ; 0,0
05-10-16 18:00; 0,0; 21; 17; 29; 0,00; 4; 0,0
05-10-16 18:30; ; ; ; ; ; ; 0,0
05-10-16 19:00; 0,0; 13; 13; 39; 0,00; 3; 0,0
05-10-16 19:30; ; ; ; ; ; ; 0,0
05-10-16 20:00; 0,0; 7; 9; 42; 0,00; 1; 0,0
05-10-16 20:30; ; ; ; ; ; ; 0,0
05-10-16 21:00; 0,0; 3; 6; 46; 0,00; 3; 0,0
05-10-16 21:30; ; ; ; ; ; ; 0,0
05-10-16 22:00; 0,0; 9; 11; 48; 0,00; 5; 0,0
05-10-16 22:30; ; ; ; ; ; ; 0,0
05-10-16 23:00; 0,0; 5; 10; 47; 0,00; 3; 0,0
05-10-16 23:30; ; ; ; ; ; ; 0,0
06-10-16 00:00; 0,0; 2; 8; 48; 0,00; 2; 0,0
06-10-16 00:30; ; ; ; ; ; ; 0,0
06-10-16 01:00; 0,0; 2; 6; 50; 0,00; 2; 0,0
06-10-16 01:30; ; ; ; ; ; ; 0,0
06-10-16 02:00; 0,0; 2; 6; 48; 0,00; 2; 0,0
06-10-16 02:30; ; ; ; ; ; ; 0,0
06-10-16 03:00; 0,0; 1; 4; 47; 0,00; 2; 0,0
06-10-16 03:30; ; ; ; ; ; ; 0,0
06-10-16 04:00; 0,0; 2; 4; 44; 0,00; 2; 0,0
06-10-16 04:30; ; ; ; ; ; ; 0,0
06-10-16 05:00; 0,0; 5; 6; 38; 0,00; 1; 0,0
06-10-16 05:30; ; ; ; ; ; ; 0,0
06-10-16 06:00; 0,0; 6; 8; 31; 0,00; 2; 0,0
06-10-16 06:30; ; ; ; ; ; ; 0,0
