Datum,Zeit,BEN,NO,NO2,O3,PM10_Pb,PM2.5,SO2
dd-mm-yy,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2016-08-02,14:30,,,,,,,0.0
2016-08-02,15:00,,2,10,72,,,
2016-08-02,15:30,,,,,,,0.0
2016-08-02,16:00,,1,7,84,,,
2016-08-02,16:30,,,,,,,0.0
2016-08-02,17:00,,1,7,78,,,
2016-08-02,17:30,,,,,,,0.0
2016-08-02,18:00,,1,9,72,,,
2016-08-02,18:30,,,,,,,0.0
2016-08-02,19:00,,1,7,72,,,
2016-08-02,19:30,,,,,,,0.0
2016-08-02,20:00,,1,8,68,,,
2016-08-02,20:30,,,,,,,0.0
2016-08-02,21:00,,1,9,61,,,
2016-08-02,21:30,,,,,,,0.0
2016-08-02,22:00,,1,7,58,,,
2016-08-02,22:30,,,,,,,0.0
2016-08-02,23:00,,1,8,49,,,
2016-08-02,23:30,,,,,,,0.0
2016-08-03,00:00,,1,13,38,,,
2016-08-03,00:30,,,,,,3.73,0.0
2016-08-03,01:00,,1,12,37,,,
2016-08-03,01:30,,,,,,,0.0
2016-08-03,02:00,,1,8,38,,,
2016-08-03,02:30,,,,,,,0.0
2016-08-03,03:00,,1,7,33,,,
2016-08-03,03:30,,,,,,,0.0
2016-08-03,04:00,,1,9,24,,,
2016-08-03,04:30,,,,,,,0.0
2016-08-03,05:00,,1,10,21,,,
2016-08-03,05:30,,,,,,,0.0
2016-08-03,06:00,,2,14,11,,,
2016-08-03,06:30,,,,,,,0.0
2016-08-03,07:00,,7,19,8,,,
2016-08-03,07:30,,,,,,,0.0
2016-08-03,08:00,,12,23,7,,,
2016-08-03,08:30,,,,,,,0.0
2016-08-03,09:00,,2,9,25,,,
2016-08-03,09:30,,,,,,,0.0
2016-08-03,10:00,,3,6,31,,,
2016-08-03,10:30,,,,,,,0.0
2016-08-03,11:00,,1,8,34,,,
2016-08-03,11:30,,,,,,,0.0
2016-08-03,12:00,,1,5,39,,,
2016-08-03,12:30,,,,,,,0.0
2016-08-03,13:00,,1,5,41,,,
2016-08-03,13:30,,,,,,,0.0
2016-08-03,14:00,,1,5,39,,,
2016-08-03,14:30,,,,,,,0.0
2016-08-03,15:00,,2,14,28,,,
2016-08-03,15:30,,,,,,,0.0
2016-08-03,16:00,,2,9,30,,,
2016-08-03,16:30,,,,,,,0.0
2016-08-03,17:00,,2,14,25,,,
2016-08-03,17:30,,,,,,,0.0
2016-08-03,18:00,,3,21,15,,,
2016-08-03,18:30,,,,,,,0.0
2016-08-03,19:00,,1,9,35,,,
2016-08-03,19:30,,,,,,,0.0
2016-08-03,20:00,,1,8,41,,,
2016-08-03,20:30,,,,,,,0.0
2016-08-03,21:00,,1,7,42,,,
2016-08-03,21:30,,,,,,,0.0
2016-08-03,22:00,,1,6,42,,,
2016-08-03,22:30,,,,,,,0.0
2016-08-03,23:00,,1,8,37,,,
2016-08-03,23:30,,,,,,,0.0
2016-08-04,00:00,,1,4,38,,,
2016-08-04,00:30,,,,,,6.70,0.0
2016-08-04,01:00,,1,5,34,,,
2016-08-04,01:30,,,,,,,0.0
2016-08-04,02:00,,1,6,24,,,
2016-08-04,02:30,,,,,,,0.0
2016-08-04,03:00,,1,6,16,,,
2016-08-04,03:30,,,,,,,0.0
2016-08-04,04:00,,1,9,10,,,
2016-08-04,04:30,,,,,,,0.0
2016-08-04,05:00,,1,12,5,,,
2016-08-04,05:30,,,,,,,0.0
2016-08-04,06:00,,7,15,3,,,
2016-08-04,06:30,,,,,,,0.0
2016-08-04,07:00,,12,16,2,,,
2016-08-04,07:30,,,,,,,0.0
2016-08-04,08:00,,14,18,5,,,
2016-08-04,08:30,,,,,,,0.0
2016-08-04,09:00,,17,18,9,,,
2016-08-04,09:30,,,,,,,0.0
2016-08-04,10:00,,6,15,32,,,
2016-08-04,10:30,,,,,,,0.0
2016-08-04,11:00,,1,5,68,,,
2016-08-04,11:30,,,,,,,0.0
2016-08-04,12:00,,1,4,75,,,
2016-08-04,12:30,,,,,,,0.0
2016-08-04,13:00,,1,3,81,,,
2016-08-04,13:30,,,,,,,0.0
2016-08-04,14:00,,1,4,83,,,
2016-08-04,14:30,,,,,,,0.0
2016-08-04,15:00,,1,5,84,,,
2016-08-04,15:30,,,,,,,0.0
2016-08-04,16:00,,1,6,84,,,
2016-08-04,16:30,,,,,,,0.0
2016-08-04,17:00,,1,5,87,,,
2016-08-04,17:30,,,,,,,0.0
2016-08-04,18:00,,1,9,83,,,
2016-08-04,18:30,,,,,,,0.0
2016-08-04,19:00,,1,11,74,,,
2016-08-04,19:30,,,,,,,0.0
2016-08-04,20:00,,1,9,59,,,
2016-08-04,20:30,,,,,,,0.0
2016-08-04,21:00,,1,8,61,,,
2016-08-04,21:30,,,,,,,0.0
2016-08-04,22:00,,1,7,59,,,
2016-08-04,22:30,,,,,,,0.0
2016-08-04,23:00,,1,10,52,,,
2016-08-04,23:30,,,,,,,0.0
2016-08-05,00:00,,1,12,45,,,
2016-08-05,00:30,,,,,,6.19,0.0
2016-08-05,01:00,,1,12,38,,,
2016-08-05,01:30,,,,,,,0.0
2016-08-05,02:00,,1,9,43,,,
2016-08-05,02:30,,,,,,,0.0
2016-08-05,03:00,,1,8,40,,,
2016-08-05,03:30,,,,,,,0.0
2016-08-05,04:00,,1,4,56,,,
2016-08-05,04:30,,,,,,,0.0
2016-08-05,05:00,,1,5,52,,,
2016-08-05,05:30,,,,,,,0.0
2016-08-05,06:00,,1,13,41,,,
2016-08-05,06:30,,,,,,,0.0
2016-08-05,07:00,,1,16,32,,,
2016-08-05,07:30,,,,,,,0.0
2016-08-05,08:00,,2,17,35,,,
2016-08-05,08:30,,,,,,,0.0
2016-08-05,09:00,,1,16,33,,,
2016-08-05,09:30,,,,,,,0.0
2016-08-05,10:00,,1,15,43,,,
2016-08-05,10:30,,,,,,,0.0
2016-08-05,11:00,,2,14,54,,,
2016-08-05,11:30,,,,,,,0.0
2016-08-05,12:00,,1,11,56,,,
2016-08-05,12:30,,,,,,,0.0
2016-08-05,13:00,,2,10,53,,,
2016-08-05,13:30,,,,,,,0.0
2016-08-05,14:00,,1,9,56,,,
2016-08-05,14:30,,,,,,,0.0
2016-08-05,15:00,,2,11,57,,,
2016-08-05,15:30,,,,,,,0.0
2016-08-05,16:00,,1,12,55,,,
2016-08-05,16:30,,,,,,,0.0
2016-08-05,17:00,,1,10,57,,,
2016-08-05,17:30,,,,,,,0.0
2016-08-05,18:00,,1,10,54,,,
2016-08-05,18:30,,,,,,,0.0
2016-08-05,19:00,,1,19,37,,,
2016-08-05,19:30,,,,,,,0.0
2016-08-05,20:00,,1,24,22,,,
2016-08-05,20:30,,,,,,,0.0
2016-08-05,21:00,,1,19,27,,,
2016-08-05,21:30,,,,,,,0.0
2016-08-05,22:00,,1,17,25,,,
2016-08-05,22:30,,,,,,,0.0
2016-08-05,23:00,,1,17,22,,,
2016-08-05,23:30,,,,,,,0.0
2016-08-06,00:00,,1,12,29,,,
